"TANGGAL","HARGA BERAS KUALITAS  BAWAH I (PER KG)","HARGA BERAS KUALITAS  BAWAH II (PER KG)","HARGA BERAS KUALITAS  MEDIUM I (PER KG)","HARGA BERAS KUALITAS  MEDIUM II (PER KG)","HARGA BERAS KUALITAS  SUPER I (PER KG)","HARGA BERAS KUALITAS  SUPER II (PER KG)","INFLASI (BI)","KURS USD","BBM (PERTALITE)","UMP SULUT","JUMLAH PENDUDUK","PUPUK SUBSIDI"
"2018-01-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.25,13380.0,7800.0,2824286.0,272144.0,2500.0
"2018-02-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.18,13590.0,7800.0,2824286.0,272144.0,2500.0
"2018-03-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.4,13758.0,7800.0,2824286.0,272144.0,2500.0
"2018-04-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.41,13802.0,7800.0,2824286.0,272144.0,2500.0
"2018-05-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.23,14059.0,7800.0,2824286.0,272144.0,2500.0
"2018-06-01",10400.0,10400.0,11650,11150.0,12250.0,11750.0,3.12,14049.0,7800.0,2824286.0,272144.0,2500.0
"2018-07-01",10400.0,10400.0,11650,11150.0,12400.0,11900.0,3.18,14414.0,7800.0,2824286.0,272144.0,2500.0
"2018-08-01",10400.0,10400.0,11650,11150.0,12400.0,11900.0,3.2,14559.0,7800.0,2824286.0,272144.0,2500.0
"2018-09-01",10400.0,10400.0,11650,11150.0,12400.0,11900.0,2.88,14868.0,7800.0,2824286.0,272144.0,2500.0
"2018-10-01",10400.0,10400.0,11650,11150.0,12400.0,11900.0,3.16,15178.0,7800.0,2824286.0,272144.0,2500.0
"2018-11-01",10500.0,10400.0,11650,11400.0,12500.0,11900.0,3.23,14696.0,7800.0,2824286.0,272144.0,2500.0
"2018-12-01",10500.0,10400.0,11650,11400.0,12000.0,11900.0,3.13,14496.0,7800.0,2824286.0,272144.0,2500.0
"2019-01-01",10500.0,10400.0,11650,11400.0,12000.0,11900.0,2.82,14163.0,7650.0,3051076.0,250698.0,3000.0
"2019-02-01",10500.0,10400.0,11500,11250.0,12000.0,11900.0,2.57,14035.0,7650.0,3051076.0,250698.0,3000.0
"2019-03-01",10650.0,10500.0,11500,11250.0,12000.0,11900.0,2.48,14211.0,7650.0,3051076.0,250698.0,3000.0
"2019-04-01",10650.0,10500.0,11500,11250.0,11900.0,11900.0,2.83,14142.0,7650.0,3051076.0,250698.0,3000.0
"2019-05-01",10650.0,10500.0,11500,11250.0,11900.0,11900.0,3.32,14392.0,7650.0,3051076.0,250698.0,3000.0
"2019-06-01",10650.0,10500.0,11500,11250.0,11900.0,11900.0,3.28,14226.0,7650.0,3051076.0,250698.0,3000.0
"2019-07-01",10650.0,10500.0,11400,11000.0,12000.0,11650.0,3.32,14043.0,7650.0,3051076.0,250698.0,3000.0
"2019-08-01",10650.0,10500.0,11400,11000.0,12000.0,11650.0,3.49,14242.0,7650.0,3051076.0,250698.0,3000.0
"2019-09-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,3.39,14111.0,7650.0,3051076.0,250698.0,3000.0
"2019-10-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,3.13,14117.0,7650.0,3051076.0,250698.0,3000.0
"2019-11-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,3.0,14068.0,7650.0,3051076.0,250698.0,3000.0
"2019-12-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,2.72,14017.0,7650.0,3051076.0,250698.0,3000.0
"2020-01-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,2.68,13732.0,7650.0,3310723.0,262192.0,6500.0
"2020-02-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,2.98,13776.0,7650.0,3310723.0,262192.0,6500.0
"2020-03-01",10650.0,10500.0,11250,11000.0,12000.0,11650.0,2.96,15194.0,7650.0,3310723.0,262192.0,6500.0
"2020-04-01",10650.0,10500.0,11900,11000.0,12000.0,11650.0,2.67,15867.0,7650.0,3310723.0,262192.0,6500.0
"2020-05-01",10650.0,10500.0,11900,11000.0,11750.0,11650.0,2.19,14906.0,7650.0,3310723.0,262192.0,6500.0
"2020-06-01",10900.0,10500.0,11750,11000.0,11750.0,11650.0,1.96,14195.0,7650.0,3310723.0,262192.0,6500.0
"2020-07-01",10900.0,10500.0,11750,10900.0,11750.0,11650.0,1.54,14582.0,7650.0,3310723.0,262192.0,6500.0
"2020-08-01",10900.0,10500.0,11750,10900.0,11750.0,11650.0,1.32,14724.0,7650.0,3310723.0,262192.0,6500.0
"2020-09-01",10900.0,10500.0,11750,10900.0,11750.0,11650.0,1.42,14847.0,7650.0,3310723.0,262192.0,6500.0
