no,tanggal,harga_beras,produksi_padi,produksi_beras,luas_panen,ihk,curah_hujan
1,2023-01-01,13000,11.72,6.59,2.79,113.31,7.7
2,2023-02-01,13214,11.88,6.67,2.8,113.07,5.43
3,2023-03-01,14000,23.54,13.23,5.86,113.92,4.86
4,2023-04-01,14000,21.43,12.04,5.24,114.21,6.19
5,2023-05-01,14000,22.6,12.7,5.25,113.96,8.18
6,2023-06-01,13583,24.94,14.02,5.72,114.09,8.29
7,2023-07-01,13306,13.74,7.72,3.16,114.06,2.67
8,2023-08-01,13097,20.02,11.25,4.64,113.8,0.46
9,2023-09-01,13889,32.86,18.47,7.11,113.96,1.58
10,2023-10-01,14941,25.03,14.07,5.61,115.03,2.22
11,2023-11-01,15000,17.45,9.8,3.7,115.36,8.48
12,2023-12-01,15130,12.97,7.29,2.7,116.14,5.6
SUM,,137030,207.76000000000002,116.75999999999999,48.17999999999999,1139.41,47.58
